Prob.,Approach,Sols,StartC,InvC,CT,Bias,ViolQ,MQuQ,TQ,ALQ,PAQ,P1T(s),VT(s),MQuT(s),TT(s),ALT(s),PAT(s),precision,recall,s_precision,s_recall
Sudoku,COP,10,29,2,27,1506,37,230,267,N/A,N/A,48.98,304.78,4.89,358.65,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku,LION,10,29,2,27,1506,2,922,924,N/A,N/A,48.98,6.55,138.95,194.48,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku,COP,5,35,8,27,1506,37,230,267,N/A,N/A,48.64,304.78,4.89,358.31,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku,LION,5,35,8,27,1506,2,1032,1034,N/A,N/A,48.64,6.55,173.31,228.5,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku,LION,2,47,20,27,8654,20,2664,2684,N/A,N/A,48.49,9.04,209.76,267.29,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,COP,20,32,5,37,1032,37,91,128,N/A,N/A,16.45,297.34,3.13,316.92,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,LION,20,32,0,37,1032,0,210,210,N/A,N/A,16.45,7.87,12.16,36.48,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,COP,5,35,8,37,2757,37,416,453,N/A,N/A,9.89,304.46,16.15,330.5,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,LION,5,35,0,37,2757,8,1461,1469,N/A,N/A,9.89,6.42,191.81,208.12,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,COP,200,28,1,37,830,37,1,38,N/A,N/A,68.65,303.59,0.1,372.34,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,LION,200,28,0,37,830,0,4,4,N/A,N/A,68.65,24.4,0.11,93.16,N/A,N/A,0.0,0.0,0.0,0.0
Latin Square,LION,2,68,50,18,5828,50,1539,1589,N/A,N/A,10.21,51.01,377.84,439.06,N/A,N/A,73.22,100.0,0.0,0.0
